player,season,salary,salary_growth_pct,phase,contract_event_id
A.J. Green,2025,2120693,,Regular Year,
AJ Griffin,2023,3749348,,Regular Year,
Aaron Brooks,2015,915243,,Contract Year 1,1.0
Aaron Brooks,2016,2250000,1.4583635165742868,Contract Year 2,2.0
Aaron Brooks,2017,2700000,0.2,Post-Contract Year 2,2.0
Aaron Gordon,2015,3992040,,Regular Year,
Aaron Gordon,2016,4171680,0.0449995491027144,Regular Year,
Aaron Gordon,2017,4351320,0.04306178805661029,Contract Year 1,1.0
Aaron Gordon,2019,21590909,3.961921669746192,Post-Contract Year 1,1.0
Aaron Gordon,2020,19863636,-0.0800000129684211,Regular Year,
Aaron Gordon,2021,22102631,0.11271828581635306,Contract Year 2,2.0
Aaron Gordon,2022,18974611,-0.14152251829205312,Contract Year 3,3.0
Aaron Gordon,2023,21938322,0.15619350510005187,Post-Contract Year 3,3.0
Aaron Gordon,2024,21898084,-0.001834142100749547,Regular Year,
Aaron Gordon,2025,22841455,0.043080070384240006,Regular Year,
Aaron Holiday,2019,1911960,,Contract Year 1,1.0
Aaron Holiday,2020,2329200,0.21822632272641687,Contract Year 2,2.0
Aaron Holiday,2021,2858611,0.22729306199553495,Contract Year 3,3.0
Aaron Holiday,2022,4602900,0.6101876050991198,Contract Year 4,4.0
Aaron Holiday,2023,2086832,-0.54662669186817,Contract Year 5,5.0
Aaron Holiday,2024,2416341,0.15789915048264547,Contract Year 6,6.0
Aaron Holiday,2025,4668000,0.9318465398716489,Post-Contract Year 6,6.0
Aaron Nesmith,2021,4214722,,Regular Year,
Aaron Nesmith,2023,4033717,-0.042945892991281515,Contract Year 1,1.0
Aaron Nesmith,2024,5801673,0.4382945060350044,Contract Year 2,2.0
Aaron Nesmith,2025,11000000,0.896004824815187,Post-Contract Year 2,2.0
Aaron Wiggins,2022,1509913,,Regular Year,
Aaron Wiggins,2023,1657779,0.097930145644153,Contract Year 1,1.0
Aaron Wiggins,2024,1890653,0.1404734889270524,Contract Year 2,2.0
Aaron Wiggins,2025,10514017,4.561050599977891,Post-Contract Year 2,2.0
Abdel Nader,2020,1618520,,Regular Year,
Adem Bona,2025,1157153,,Regular Year,
Al Horford,2015,12000000,,Regular Year,
Al Horford,2016,12000000,0.0,Contract Year 1,1.0
Al Horford,2017,26540100,1.211675,Post-Contract Year 1,1.0
Al Horford,2018,27734406,0.045000056518249745,Regular Year,
Al Horford,2019,28928709,0.043062144543495905,Regular Year,
Al Horford,2020,28000000,-0.032103368318302766,Regular Year,
Al Horford,2022,31221383,0.11504939285714286,Regular Year,
Al Horford,2023,28097632,-0.1000516537015673,Contract Year 2,2.0
Al Horford,2024,10297139,-0.6335228890463083,Post-Contract Year 2,2.0
Al Horford,2025,9500000,-0.07741363887580813,Regular Year,
Al Jefferson,2015,13500000,,Regular Year,
Al Jefferson,2016,13500000,0.0,Contract Year 1,1.0
Al Jefferson,2017,10314532,-0.23596059259259258,Post-Contract Year 1,1.0
Al-Farouq Aminu,2015,981084,,Contract Year 1,1.0
Al-Farouq Aminu,2016,8042895,7.197967758112455,Post-Contract Year 1,1.0
Al-Farouq Aminu,2017,7680965,-0.04499996580833145,Regular Year,
Al-Farouq Aminu,2018,7319035,-0.04712038135833193,Regular Year,
Al-Farouq Aminu,2019,6957105,-0.0494505081612535,Regular Year,
Alan Anderson,2015,1276061,,Regular Year,
Alan Williams,2017,874636,,Regular Year,
Alec Burks,2017,10154495,,Regular Year,
Alec Burks,2018,10845506,0.06804976515326464,Regular Year,
Alec Burks,2019,11536515,0.06371385530559846,Contract Year 1,1.0
Alec Burks,2020,1620564,-0.859527422276138,Contract Year 2,2.0
Alec Burks,2021,7312148,3.5121007254264565,Contract Year 3,3.0
Alec Burks,2022,11026930,0.5080288309262887,Post-Contract Year 3,3.0
Alec Burks,2023,10616451,-0.03722513881923618,Regular Year,
Alec Burks,2024,10801287,0.017410337974526516,Contract Year 4,4.0
Alec Burks,2025,2087519,-0.8067342345407542,Post-Contract Year 4,4.0
Aleksej Pokusevski,2021,3613225,,Regular Year,
Aleksej Pokusevski,2022,3599894,-0.0036895017608922775,Regular Year,
Alex Abrines,2017,5994764,,Regular Year,
Alex Abrines,2018,5725000,-0.0449999366113495,Regular Year,
Alex Caruso,2020,2750000,,Contract Year 1,1.0
Alex Caruso,2021,3351401,0.21869127272727273,Contract Year 2,2.0
Alex Caruso,2022,9944588,1.9672927829286917,Post-Contract Year 2,2.0
Alex Caruso,2023,9574400,-0.03722507156656465,Regular Year,
Alex Caruso,2024,9741094,0.017410386029411765,Regular Year,
Alex Caruso,2025,9890000,0.015286373378595874,Regular Year,
Alex Len,2015,3649920,,Regular Year,
Alex Len,2016,3807120,0.04306943713834824,Contract Year 1,1.0
Alex Len,2017,4823621,0.26699998949337034,Contract Year 2,2.0
Alex Len,2018,4187599,-0.13185571586159028,Post-Contract Year 2,2.0
Alex Len,2019,4350000,0.03878141149618194,Regular Year,
Alex Len,2020,4160000,-0.04367816091954023,Contract Year 3,3.0
Alex Len,2021,4838994,0.16321971153846154,Post-Contract Year 3,3.0
Alex Sarr,2025,11245680,,Regular Year,
Alexey Shved,2015,3282056,,Regular Year,
Alexis Ajinca,2015,981084,,Contract Year 1,1.0
Alexis Ajinca,2016,4389607,3.4742417570768658,Post-Contract Year 1,1.0
Alfonzo McKinnie,2019,1349383,,Regular Year,
Alfonzo McKinnie,2020,1500000,0.11161916223933457,Regular Year,
Allen Crabbe,2015,862000,,Regular Year,
Allen Crabbe,2016,947276,0.09892807424593968,Contract Year 1,1.0
Allen Crabbe,2017,18500000,18.529683006853336,Post-Contract Year 1,1.0
Allen Crabbe,2018,18500000,0.0,Regular Year,
Allen Crabbe,2019,18500000,0.0,Regular Year,
Allonzo Trier,2019,3382000,,Regular Year,
Alonzo Gee,2015,915243,,Contract Year 1,1.0
Alonzo Gee,2016,1320000,0.4422399297235816,Post-Contract Year 1,1.0
Alperen Sengun,2022,3717287,,Regular Year,
Alperen Sengun,2024,3641356,-0.020426456176238207,Contract Year 1,1.0
Alperen Sengun,2025,5424654,0.48973459337675307,Post-Contract Year 1,1.0
Amar'e Stoudemire,2015,306876,,Contract Year 1,1.0
Amar'e Stoudemire,2016,947276,2.0868363769079368,Post-Contract Year 1,1.0
Amen Thompson,2024,9071042,,Regular Year,
Amen Thompson,2025,9249960,0.019724084620046958,Regular Year,
Amir Coffey,2022,663253,,Contract Year 1,1.0
Amir Coffey,2023,3599743,4.42740553001645,Post-Contract Year 1,1.0
Amir Coffey,2024,3775618,0.04885765456033945,Regular Year,
Amir Coffey,2025,3938271,0.043079834877363124,Regular Year,
Amir Johnson,2015,7000000,,Contract Year 1,1.0
Amir Johnson,2016,12000000,0.7142857142857143,Post-Contract Year 1,1.0
Amir Johnson,2017,12000000,0.0,Regular Year,
Andre Drummond,2015,2568360,,Contract Year 1,1.0
Andre Drummond,2016,3272091,0.27400014016726626,Contract Year 2,2.0
Andre Drummond,2017,22116750,5.759209936398468,Contract Year 3,3.0
Andre Drummond,2018,25434263,0.1500000226072999,Post-Contract Year 3,3.0
Andre Drummond,2019,25434263,0.0,Regular Year,
Andre Drummond,2020,27093019,0.06521738019300972,Contract Year 4,4.0
Andre Drummond,2021,35039540,0.29330511302561,Contract Year 5,5.0
Andre Drummond,2022,2777011,-0.9207463625378643,Contract Year 6,6.0
Andre Drummond,2023,3392921,0.2217888225865868,Post-Contract Year 6,6.0
Andre Drummond,2024,3459838,0.01972253406430624,Contract Year 7,7.0
Andre Drummond,2025,5000000,0.4451543684993344,Post-Contract Year 7,7.0
Andre Iguodala,2015,12289544,,Regular Year,
Andre Iguodala,2016,11710456,-0.04712038135833193,Regular Year,
Andre Iguodala,2017,11131368,-0.0494505081612535,Contract Year 1,1.0
Andre Iguodala,2018,14814815,0.3309069469269186,Post-Contract Year 1,1.0
Andre Iguodala,2019,16000000,0.07999998650000018,Contract Year 2,2.0
Andre Iguodala,2021,18280371,0.1425231875,Post-Contract Year 2,2.0
Andre Jackson Jr.,2025,1891857,,Regular Year,
Andre Miller,2015,4650000,,Regular Year,
Andre Roberson,2015,1160880,,Regular Year,
Andre Roberson,2016,1210800,0.04300186065743229,Contract Year 1,1.0
Andre Roberson,2017,2183072,0.8029996696399075,Post-Contract Year 1,1.0
Andrea Bargnani,2016,1362897,,Regular Year,
Andrew Bogut,2015,12972973,,Regular Year,
