player,position,season,phase,contract_event_id,points_pct_change_from_baseline,total_rebounds_pct_change_from_baseline,assists_pct_change_from_baseline,steals_pct_change_from_baseline,blocks_pct_change_from_baseline,fg_percentage_pct_change_from_baseline,three_point_percentage_pct_change_from_baseline,efficient_scoring_value_pct_change_from_baseline,hustle_factor_pct_change_from_baseline,offensive_creation_rate_pct_change_from_baseline,availability_rate_pct_change_from_baseline,overall_impact_score_pct_change_from_baseline,points_pct_change_from_contract_year,total_rebounds_pct_change_from_contract_year,assists_pct_change_from_contract_year,steals_pct_change_from_contract_year,blocks_pct_change_from_contract_year,fg_percentage_pct_change_from_contract_year,three_point_percentage_pct_change_from_contract_year,efficient_scoring_value_pct_change_from_contract_year,hustle_factor_pct_change_from_contract_year,offensive_creation_rate_pct_change_from_contract_year,availability_rate_pct_change_from_contract_year,overall_impact_score_pct_change_from_contract_year
A.J. Green, SG      ,2025, Baseline Year 1     ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
AJ Griffin, SF      ,2023, Baseline Year 1     ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Aaron Brooks, PG      ,2015, Contract Year 1     ,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Brooks, PG      ,2016, Contract Year 2     ,2.0,-0.388,-0.25,-0.188,-0.429,-0.5,-0.048,-0.078,-0.418,-0.015,0.25,-0.159,-0.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Brooks, PG      ,2017, Post-Contract Year 2,2.0,-0.569,-0.45,-0.406,-0.429,-0.5,-0.043,-0.031,-0.579,-0.08,0.08,-0.207,-0.195,-0.174,-0.154,-0.156,-0.0,-0.0,0.002,0.025,-0.161,-0.034,-0.073,-0.03,-0.052
Aaron Gordon, PF      ,2015, Baseline Year 1     ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.638,-0.424,-0.75,-0.467,-0.167,-0.01,-0.149,-0.656,0.095,-0.524,-0.405,-0.182
Aaron Gordon, PF      ,2016, Baseline Year 1     ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.359,0.04,-0.429,0.067,0.167,0.048,-0.071,-0.352,0.385,0.089,-0.013,0.157
Aaron Gordon, SF      ,2017, Contract Year 1     ,1.0,0.323,-0.14,-0.05,0.2,-0.167,0.004,-0.013,0.345,-0.239,0.004,0.283,-0.072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Gordon, PF      ,2019, Post-Contract Year 1,1.0,0.667,0.247,0.85,0.05,0.167,-0.007,0.197,0.721,-0.112,0.066,0.251,0.05,0.115,0.184,0.321,-0.067,0.167,-0.006,0.096,0.123,0.077,0.03,-0.013,0.062
Aaron Gordon, PF      ,2020, Baseline Year 2     ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.232,0.321,0.067,-0.0,-0.032,-0.033,-0.035,0.159,0.333,-0.215,0.059
